"#","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1","Ja'Marr Chase WR (CIN) ","Bijan Robinson RB (ATL) ","Jahmyr Gibbs RB (DET) ","Saquon Barkley RB (PHI) ","CeeDee Lamb WR (DAL) ","Justin Jefferson WR (MIN) ","Christian McCaffrey RB (SF) ","Amon-Ra St. Brown WR (DET) ","Malik Nabers WR (NYG) ","Ashton Jeanty RB (LV) ","Derrick Henry RB (BAL) ","Puka Nacua WR (LAR) ","Nico Collins WR (HOU) ","Brian Thomas Jr. WR (JAX) "
"2","Tee Higgins WR (CIN) ","Kyren Williams RB (LAR) ","Trey McBride TE (ARI) ","Lamar Jackson QB (BAL) ","Josh Allen QB (BUF) ","Ladd McConkey WR (LAC) ","Bucky Irving RB (TB) ","Chase Brown RB (CIN) ","Jonathan Taylor RB (IND) ","Josh Jacobs RB (GB) ","A.J. Brown WR (PHI) ","Brock Bowers TE (LV) ","Drake London WR (ATL) ","De'Von Achane RB (MIA) "
"3","Jaxon Smith-Njigba WR (SEA) ","Jayden Daniels QB (WAS) ","Tyreek Hill WR (MIA) ","Omarion Hampton RB (LAC) ","James Cook RB (BUF) ","George Kittle TE (SF) ","Garrett Wilson WR (NYJ) ","Mike Evans WR (TB) ","Jalen Hurts QB (PHI) ","Marvin Harrison Jr. WR (ARI) ","Davante Adams WR (LAR) ","Breece Hall RB (NYJ) ","Kenneth Walker RB (SEA) ","Joe Burrow QB (CIN) "
"4","Sam LaPorta TE (DET) ","George Pickens WR (DAL) ","Tetairoa McMillan WR (CAR) ","Jameson Williams WR (DET) ","DeVonta Smith WR (PHI) ","James Conner RB (ARI) ","Courtland Sutton WR (DEN) ","DK Metcalf WR (PIT) ","Xavier Worthy WR (KC) ","D.J. Moore WR (CHI) ","Chuba Hubbard RB (CAR) ","TreVeyon Henderson RB (NE) ","Alvin Kamara RB (NO) ","Terry McLaurin WR (WAS) "
"5","Zay Flowers WR (BAL) ","Patrick Mahomes QB (KC) ","Calvin Ridley WR (TEN) ","D'Andre Swift RB (CHI) ","RJ Harvey RB (DEN) ","David Montgomery RB (DET) ","Jaylen Waddle WR (MIA) ","Rashee Rice WR (KC) ","Isiah Pacheco RB (KC) ","Tony Pollard RB (TEN) ","Travis Hunter WR (JAX) ","T.J. Hockenson TE (MIN) ","Aaron Jones RB (MIN) ","Travis Kelce TE (KC) "
"6","Jaylen Warren RB (PIT) ","Tyrone Tracy RB (NYG) ","Jakobi Meyers WR (LV) ","Stefon Diggs WR (NE) ","Emeka Egbuka WR (TB) ","Deebo Samuel WR (WAS) ","Ricky Pearsall WR (SF) ","Kaleb Johnson RB (PIT) ","Bo Nix QB (DEN) ","Mark Andrews TE (BAL) ","Chris Olave WR (NO) ","Rome Odunze WR (CHI) ","Baker Mayfield QB (TB) ","Jerry Jeudy WR (CLE) "
"7","Jordan Addison WR (MIN) ","Evan Engram TE (DEN) ","Matthew Golden WR (GB) ","Kyler Murray QB (ARI) ","Tyler Warren TE (IND) ","David Njoku TE (CLE) ","Jauan Jennings WR (SF) ","Jordan Mason RB (MIN) ","Khalil Shakir WR (BUF) ","Cooper Kupp WR (SEA) ","Dak Prescott QB (DAL) ","Brock Purdy QB (SF) ","Joe Mixon RB (HOU) ","Travis Etienne RB (JAX) "
"8","Colston Loveland TE (CHI) ","Javonte Williams RB (DAL) ","Caleb Williams QB (CHI) ","Justin Herbert QB (LAC) ","Josh Downs WR (IND) ","Cam Skattebo RB (NYG) ","Keon Coleman WR (BUF) ","Jayden Reed WR (GB) ","Tucker Kraft TE (GB) ","Jared Goff QB (DET) ","Michael Pittman Jr. WR (IND) ","Justin Fields QB (NYJ) ","Zach Charbonnet RB (SEA) ","J.K. Dobbins RB (DEN) "
"9","Rhamondre Stevenson RB (NE) ","Drake Maye QB (NE) ","Jacory Croskey-Merritt RB (WAS) ","Brian Robinson RB (SF) ","Quinshon Judkins RB (CLE) ","Tank Bigsby RB (JAX) ","Dalton Kincaid TE (BUF) ","Rashid Shaheed WR (NO) ","Darnell Mooney WR (ATL) ","Jordan Love QB (GB) ","C.J. Stroud QB (HOU) ","Austin Ekeler RB (WAS) ","Jake Ferguson TE (DAL) ","Christian Kirk WR (HOU) "
"10","Rashod Bateman WR (BAL) ","Rachaad White RB (TB) ","Trevor Lawrence QB (JAX) ","Keenan Allen WR (LAC) ","Najee Harris RB (LAC) ","Bhayshul Tuten RB (JAX) ","Brandon Aiyuk WR (SF) ","Marvin Mims WR (DEN) ","Kyle Pitts TE (ATL) ","Jaydon Blue RB (DAL) ","Dallas Goedert TE (PHI) ","Braelon Allen RB (NYJ) ","Jayden Higgins WR (HOU) ","J.J. McCarthy QB (MIN) "
"11","Trey Benson RB (ARI) ","Tyjae Spears RB (TEN) ","Luther Burden WR (CHI) ","Nick Chubb RB (HOU) ","Zach Ertz TE (WAS) ","Ray Davis RB (BUF) ","Jonnu Smith TE (PIT) ","Hollywood Brown WR (KC) ","Hunter Henry TE (NE) ","Jerome Ford RB (CLE) ","Tyler Allgeier RB (ATL) ","Michael Penix Jr. QB (ATL) ","Tua Tagovailoa QB (MIA) ","Bryce Young QB (CAR) "
"12","Denver Broncos DEF (DEN) ","Ollie Gordon RB (MIA) ","Jaylen Wright RB (MIA) ","Dylan Sampson RB (CLE) ","Isaiah Likely TE (BAL) ","Brenton Strange TE (JAX) ","Isaac Guerendo RB (SF) ","Xavier Legette WR (CAR) ","Geno Smith QB (LV) ","Wan'Dale Robinson WR (NYG) ","Matthew Stafford QB (LAR) ","Cedric Tillman WR (CLE) ","Adam Thielen WR (MIN) ","Cam Ward QB (TEN) "
"13","Will Shipley RB (PHI) ","Philadelphia Eagles DEF (PHI) ","Rico Dowdle RB (CAR) ","Demario Douglas WR (NE) ","Romeo Doubs WR (GB) ","Baltimore Ravens DEF (BAL) ","Chris Godwin WR (TB) ","Darren Waller TE (MIA) ","Pittsburgh Steelers DEF (PIT) ","Sam Darnold QB (SEA) ","Tre' Harris WR (LAC) ","Minnesota Vikings DEF (MIN) ","Aaron Rodgers QB (PIT) ","Houston Texans DEF (HOU) "
"14","Mason Taylor TE (NYJ) ","Blake Corum RB (LAR) ","Seattle Seahawks DEF (SEA) ","Daniel Jones QB (IND) ","Cade Otton TE (TB) ","Detroit Lions DEF (DET) ","Kansas City Chiefs DEF (KC) ","Chigoziem Okonkwo TE (TEN) ","Kyle Williams WR (NE) ","Roschon Johnson RB (CHI) ","Buffalo Bills DEF (BUF) ","Pat Freiermuth TE (PIT) ","Joshua Palmer WR (BUF) ","Quentin Johnston WR (LAC) "
"15","MarShawn Lloyd RB (GB) ","Woody Marks RB (HOU) ","Los Angeles Chargers DEF (LAC) ","Kareem Hunt RB (KC) ","Mike Gesicki TE (CIN) ","Green Bay Packers DEF (GB) ","DeAndre Hopkins WR (BAL) ","Isaac TeSlaa WR (DET) ","Keaton Mitchell RB (BAL) ","DJ Giddens RB (IND) ","Alec Pierce WR (IND) ","Elijah Arroyo TE (SEA) ","Jaxson Dart QB (NYG) ","Kendre Miller RB (NO) "
"16","Darius Slayton WR (NYG) ","Miles Sanders RB (DAL) ","Michael Wilson WR (ARI) ","Theo Johnson TE (NYG) ","Brandon Aubrey K (DAL) ","Ja'Tavion Sanders TE (CAR) ","Tory Horton WR (SEA) ","Dallas Cowboys DEF (DAL) ","New York Jets DEF (NYJ) ","Dalton Schultz TE (HOU) ","Amari Cooper WR (LV) ","Los Angeles Rams DEF (LAR) ","Anthony Richardson QB (IND) ","San Francisco 49ers DEF (SF) "
"17","Raheem Mostert RB (LV) ","Dont'e Thornton WR (LV) ","Jaylin Noel WR (HOU) ","Adonai Mitchell WR (IND) ","Cole Kmet TE (CHI) ","Pat Bryant WR (DEN) ","Joe Flacco QB (CLE) ","Elic Ayomanor WR (TEN) ","Jake Bates K (DET) ","Justice Hill RB (BAL) ","Tahj Brooks RB (CIN) ","Cameron Dicker K (LAC) ","Kyle Monangai RB (CHI) ","Jack Bech WR (LV) "
"18","Troy Franklin WR (DEN) ","Juwan Johnson TE (NO) ","Ka'imi Fairbairn K (HOU) ","Andrei Iosivas WR (CIN) ","Tyler Lockett WR (TEN) ","Sean Tucker RB (TB) ","Jalen Coker WR (CAR) ","Dyami Brown WR (JAX) ","Chris Boswell K (PIT) ","New England Patriots DEF (NE) ","Jarquez Hunter RB (LAR) ","Russell Wilson QB (NYG) ","Brashard Smith RB (KC) ","Chase McLaughlin K (TB) "
"19","Jalen Royals WR (KC) ","Shedeur Sanders QB (CLE) ","Harrison Butker K (KC) ","Noah Gray TE (KC) ","Tyler Bass K (BUF) ","Jake Elliott K (PHI) ","Wil Lutz K (DEN) ","Jalen McMillan WR (TB) ","Tyler Higbee TE (LAR) ","Evan McPherson K (CIN) ","Washington Commanders DEF (WAS) ","Tampa Bay Buccaneers DEF (TB) ","New York Giants DEF (NYG) ","Younghoe Koo K (ATL) "
"20","Ty Johnson RB (BUF) ","Cam Little K (JAX) ","Elijah Mitchell RB (KC) ","Jalen Milroe QB (SEA) ","KeAndre Lambert-Smith WR (LAC) ","Tyler Shough QB (NO) ","Calvin Austin III WR (PIT) ","Dameon Pierce RB (HOU) ","Harold Fannin TE (CLE) ","Roman Wilson WR (PIT) ","Jalen Tolbert WR (DAL) ","Jordan James RB (SF) ","Arizona Cardinals DEF (ARI) ","Dontayvion Wicks WR (GB) "